Middle-aged, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,Full-time, United-States, <=50K
Senior, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Part-time, United-States, <=50K
Middle-aged, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,Full-time, United-States, <=50K
Senior, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,Full-time, United-States, <=50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Female,Full-time, Cuba, <=50K
Middle-aged, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Female,Full-time, United-States, <=50K
Senior, Private, 9th, Married-spouse-absent, Other-service, Not-in-family, Black, Female,Part-time, Jamaica, <=50K
Senior, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,Over-time, United-States, >50K
Middle-aged, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,Over-time, United-States, >50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Full-time, United-States, >50K
Middle-aged, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,Too-much, United-States, >50K
Middle-aged, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,Full-time, India, >50K
Young, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, Assoc-acdm, Never-married, Sales, Not-in-family, Black, Male,Over-time, United-States, <=50K
Middle-aged, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,Over-time, Mexico, <=50K
Young, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, 11th, Married-civ-spouse, Sales, Husband, White, Male,Over-time, United-States, <=50K
Middle-aged, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Unmarried, White, Female,Over-time, United-States, >50K
Middle-aged, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,Over-time, United-States, >50K
Senior, Private, HS-grad, Separated, Other-service, Unmarried, Black, Female,Part-time, United-States, <=50K
Middle-aged, Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Husband, Black, Male,Full-time, United-States, <=50K
Middle-aged, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male,Full-time, United-States, <=50K
Senior, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,Full-time, United-States, <=50K
Senior, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,Full-time, United-States, >50K
Young, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,Too-much, United-States, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Full-time, United-States, <=50K
